data,IPCA,IPCA acumulado
2017-12-14,0.35,1.2146029074766185
2017-12-15,0.35,1.2146029074766185
2017-12-16,0.35,1.2146029074766185
2017-12-17,0.35,1.2146029074766185
2017-12-18,0.35,1.2146029074766185
2017-12-19,0.35,1.2146029074766185
2017-12-20,0.35,1.2146029074766185
2017-12-21,0.35,1.2146029074766185
2017-12-22,0.35,1.2146029074766185
2017-12-23,0.35,1.2146029074766185
2017-12-24,0.35,1.2146029074766185
2017-12-25,0.35,1.2146029074766185
2017-12-26,0.35,1.2146029074766185
2017-12-27,0.35,1.2146029074766185
2017-12-28,0.35,1.2146029074766185
2017-12-29,0.35,1.2146029074766185
2017-12-30,0.35,1.2146029074766185
2017-12-31,0.35,1.2146029074766185
2018-01-01,0.39,1.2193398588157771
2018-01-02,0.39,1.2193398588157771
2018-01-03,0.39,1.2193398588157771
2018-01-04,0.39,1.2193398588157771
2018-01-05,0.39,1.2193398588157771
2018-01-06,0.39,1.2193398588157771
2018-01-07,0.39,1.2193398588157771
2018-01-08,0.39,1.2193398588157771
2018-01-09,0.39,1.2193398588157771
2018-01-10,0.39,1.2193398588157771
2018-01-11,0.39,1.2193398588157771
2018-01-12,0.39,1.2193398588157771
2018-01-13,0.39,1.2193398588157771
2018-01-14,0.39,1.2193398588157771
2018-01-15,0.39,1.2193398588157771
2018-01-16,0.39,1.2193398588157771
2018-01-17,0.39,1.2193398588157771
2018-01-18,0.39,1.2193398588157771
2018-01-19,0.39,1.2193398588157771
2018-01-20,0.39,1.2193398588157771
2018-01-21,0.39,1.2193398588157771
2018-01-22,0.39,1.2193398588157771
2018-01-23,0.39,1.2193398588157771
2018-01-24,0.39,1.2193398588157771
2018-01-25,0.39,1.2193398588157771
2018-01-26,0.39,1.2193398588157771
2018-01-27,0.39,1.2193398588157771
2018-01-28,0.39,1.2193398588157771
2018-01-29,0.39,1.2193398588157771
2018-01-30,0.39,1.2193398588157771
2018-01-31,0.39,1.2193398588157771
2018-02-01,0.38,1.2239733502792771
2018-02-02,0.38,1.2239733502792771
2018-02-03,0.38,1.2239733502792771
2018-02-04,0.38,1.2239733502792771
2018-02-05,0.38,1.2239733502792771
2018-02-06,0.38,1.2239733502792771
2018-02-07,0.38,1.2239733502792771
2018-02-08,0.38,1.2239733502792771
2018-02-09,0.38,1.2239733502792771
2018-02-10,0.38,1.2239733502792771
2018-02-11,0.38,1.2239733502792771
